name	rva	va	size	callees	return_type	args	callee_names	decompiled	error
bambu_network_add_subscribe	0x1b5f20	0x1801b5f20	78	3	undefined		FUN_18011e530,FUN_1801a6cc0,FUN_1800bf410	yes	
bambu_network_bind	0x1b5f70	0x1801b5f70	1213	7	undefined		FUN_1801ad500,FUN_1801a9ba0,FUN_1800b6470,thunk_FUN_1805664dd,__security_check_cookie,FUN_1800b89c0,operator_new	yes	
bambu_network_bind_detect	0x1b6430	0x1801b6430	481	7	undefined		FUN_1800b6470,thunk_FUN_1805664dd,FUN_1801ade60,__security_check_cookie,FUN_1800b89c0,FUN_1801a9e40,operator_new	yes	
bambu_network_build_login_cmd	0x1b6620	0x1801b6620	64	1	undefined		FUN_1801a6d20	yes	
bambu_network_build_login_info	0x1b6660	0x1801b6660	64	1	undefined		FUN_1801a6d40	yes	
bambu_network_build_logout_cmd	0x1b66a0	0x1801b66a0	64	1	undefined		FUN_1801a7090	yes	
bambu_network_change_user	0x1b66e0	0x1801b66e0	78	3	undefined		FUN_1801a70b0,FUN_1800b6470,FUN_1800b89c0	yes	
bambu_network_check_debug_consistent	0x1b6730	0x1801b6730	7	0	undefined			yes	
bambu_network_check_user_report	0x1b6740	0x1801b6740	41	1	undefined		FUN_1801a7170	yes	
bambu_network_check_user_task_report	0x1b6770	0x1801b6770	41	1	undefined		FUN_1801a7180	yes	
bambu_network_connect_printer	0x1b67a0	0x1801b67a0	1087	7	undefined		FUN_1800b6470,thunk_FUN_1805664dd,FUN_1801a7190,__security_check_cookie,FUN_1801aecf0,FUN_1800b89c0,operator_new	yes	
bambu_network_connect_server	0x1b6be0	0x1801b6be0	280	5	undefined		FUN_1801a73e0,thunk_FUN_1805664dd,FUN_1801ae9d0,__security_check_cookie,operator_new	yes	
bambu_network_create_agent	0x1b6d00	0x1801b6d00	5	0	undefined			yes	
bambu_network_del_rating_picture_oss	0x1b8090	0x1801b8090	270	6	undefined		FUN_1801b02d0,thunk_FUN_1805664dd,FUN_180234fb6,__security_check_cookie,FUN_1801a73f0,operator_new	yes	
bambu_network_del_subscribe	0x1b81a0	0x1801b81a0	78	3	undefined		FUN_18011e530,FUN_1800bf410,FUN_1801a7400	yes	
bambu_network_delete_setting	0x1b81f0	0x1801b81f0	417	7	undefined		FUN_1800b6470,thunk_FUN_1805664dd,FUN_1801ae9d0,__security_check_cookie,FUN_1801a7460,FUN_1800b89c0,operator_new	yes	
bambu_network_destroy_agent	0x1b83a0	0x1801b83a0	74	2	undefined		thunk_FUN_1805664dd,FUN_1801a6ae0	yes	
bambu_network_disconnect_printer	0x1b83f0	0x1801b83f0	285	5	undefined		FUN_1801af650,thunk_FUN_1805664dd,__security_check_cookie,FUN_1801a7510,operator_new	yes	
bambu_network_enable_multi_machine	0x1b8510	0x1801b8510	21	1	undefined		FUN_1801a7520	yes	
bambu_network_get_bambulab_host	0x1b8530	0x1801b8530	64	1	undefined		FUN_1801a7530	yes	
bambu_network_get_camera_url	0x1b8570	0x1801b8570	209	3	undefined		FUN_1800b89c0,FUN_1800b6470,FUN_1801a7550	yes	
bambu_network_get_camera_url_for_golive	0x1b8650	0x1801b8650	255	3	undefined		FUN_1800b89c0,FUN_1800b6470,FUN_1801a7640	yes	
bambu_network_get_design_staffpick	0x1b8750	0x1801b8750	192	1	undefined		FUN_1801a77a0	yes	
bambu_network_get_hms_snapshot	0x1b8810	0x1801b8810	194	1	undefined		FUN_1801a7830	yes	
bambu_network_get_model_instance_id	0x1b88e0	0x1801b88e0	269	5	undefined		thunk_FUN_1805664dd,FUN_1801affb0,FUN_1801a78c0,__security_check_cookie,operator_new	yes	
bambu_network_get_model_mall_detail_url	0x1b89f0	0x1801b89f0	464	7	undefined		FUN_1800b89c0,thunk_FUN_1805664dd,FUN_1800b6470,__security_check_cookie,FUN_1801a78d0,FUN_1801b0910,operator_new	yes	
bambu_network_get_model_mall_home_url	0x1b8bc0	0x1801b8bc0	252	5	undefined		thunk_FUN_1805664dd,FUN_1801b05f0,__security_check_cookie,FUN_1801a7980,operator_new	yes	
bambu_network_get_model_mall_rating	0x1b8cc0	0x1801b8cc0	267	5	undefined		thunk_FUN_1805664dd,FUN_1801affb0,__security_check_cookie,FUN_1801a7990,operator_new	yes	
bambu_network_get_model_publish_url	0x1b8dd0	0x1801b8dd0	256	6	undefined		thunk_FUN_1805664dd,FUN_1801affb0,__security_check_cookie,FUN_180237754,FUN_1801a79a0,operator_new	yes	
bambu_network_get_model_rating_id	0x1b8ed0	0x1801b8ed0	269	5	undefined		FUN_1801af970,thunk_FUN_1805664dd,FUN_1801a78c0,__security_check_cookie,operator_new	yes	
bambu_network_get_mw_user_4ulist	0x1b8fe0	0x1801b8fe0	192	1	undefined		FUN_1801a79c0	yes	
bambu_network_get_mw_user_preference	0x1b90a0	0x1801b90a0	153	1	undefined		FUN_1801a7a50	yes	
bambu_network_get_my_message	0x1b9140	0x1801b9140	26	1	undefined		FUN_1801a7ad0	yes	
bambu_network_get_my_profile	0x1b9160	0x1801b9160	409	7	undefined		FUN_1800b89c0,FUN_1801a7ae0,thunk_FUN_1805664dd,FUN_1800b6470,FUN_1801ae9d0,__security_check_cookie,operator_new	yes	
bambu_network_get_my_token	0x1b9300	0x1801b9300	421	7	undefined		FUN_1800b89c0,thunk_FUN_1805664dd,FUN_1800b6470,__security_check_cookie,FUN_1801a7ba0,FUN_1801ae180,operator_new	yes	
bambu_network_get_oss_config	0x1b94b0	0x1801b94b0	462	7	undefined		FUN_1800b89c0,thunk_FUN_1805664dd,FUN_1800b6470,FUN_1801ae9d0,__security_check_cookie,FUN_1801a7c60,operator_new	yes	
bambu_network_get_printer_firmware	0x1b9680	0x1801b9680	434	7	undefined		FUN_1801afc90,FUN_1800b89c0,thunk_FUN_1805664dd,FUN_1800b6470,FUN_1801a7d30,__security_check_cookie,operator_new	yes	
bambu_network_get_setting_list	0x1b9840	0x1801b9840	756	7	undefined		FUN_1800b89c0,thunk_FUN_1805664dd,FUN_1800b6470,__security_check_cookie,FUN_1801a7df0,FUN_1801af010,operator_new	yes	
bambu_network_get_setting_list2	0x1b9b40	0x1801b9b40	847	7	undefined		FUN_1800b89c0,thunk_FUN_1805664dd,FUN_1801af330,FUN_1800b6470,__security_check_cookie,FUN_1801a7df0,operator_new	yes	
bambu_network_get_slice_info	0x1b9e90	0x1801b9e90	160	3	undefined		FUN_1800b89c0,FUN_1800b6470,FUN_1801a7fa0	yes	
bambu_network_get_studio_info_url	0x1b9f30	0x1801b9f30	64	1	undefined		FUN_1801a80e0	yes	
bambu_network_get_subtask	0x1b9f70	0x1801b9f70	173	1	undefined		FUN_1801a8100	yes	
bambu_network_get_subtask_info	0x1ba020	0x1801ba020	123	3	undefined		FUN_1800b89c0,FUN_1800b6470,FUN_1801a8190	yes	
bambu_network_get_task_plate_index	0x1ba0a0	0x1801ba0a0	98	3	undefined		FUN_1800b89c0,FUN_1800b6470,FUN_1801a8250	yes	
bambu_network_get_user_avatar	0x1ba110	0x1801ba110	64	1	undefined		FUN_1801ab040	yes	
bambu_network_get_user_id	0x1ba150	0x1801ba150	64	1	undefined		FUN_1801ab090	yes	
bambu_network_get_user_info	0x1ba190	0x1801ba190	243	5	undefined		thunk_FUN_1805664dd,FUN_1801ae6b0,__security_check_cookie,FUN_1801a8300,operator_new	yes	
bambu_network_get_user_name	0x1ba290	0x1801ba290	64	1	undefined		FUN_1801ab0f0	yes	
bambu_network_get_user_nickanme	0x1ba2d0	0x1801ba2d0	64	1	undefined		FUN_1801ab140	yes	
bambu_network_get_user_presets	0x1ba310	0x1801ba310	46	1	undefined		FUN_1801a83a0	yes	
bambu_network_get_user_print_info	0x1ba340	0x1801ba340	283	5	undefined		thunk_FUN_1805664dd,__security_check_cookie,FUN_1801a84c0,FUN_1801af970,operator_new	yes	
bambu_network_get_user_selected_machine	0x1ba460	0x1801ba460	64	1	undefined		FUN_1801ab190	yes	
bambu_network_get_user_tasks	0x1ba4a0	0x1801ba4a0	322	7	undefined		FUN_1801a84d0,FUN_1801ae9d0,FUN_180126170,thunk_FUN_1805664dd,FUN_1800b6470,__security_check_cookie,operator_new	yes	
bambu_network_get_version	0x1ba5f0	0x1801ba5f0	63	1	undefined		FUN_180566489	yes	
bambu_network_init_log	0x1ba630	0x1801ba630	41	1	undefined		FUN_1801a8590	yes	
bambu_network_install_device_cert	0x1ba660	0x1801ba660	137	3	undefined		FUN_1801a85a0,thunk_FUN_1805664dd,FUN_1800b6470	yes	
bambu_network_is_server_connected	0x1ba6f0	0x1801ba6f0	23	1	undefined		FUN_1801a8650	yes	
bambu_network_is_user_login	0x1ba710	0x1801ba710	23	1	undefined		FUN_1801a8660	yes	
bambu_network_modify_printer_name	0x1ba730	0x1801ba730	628	8	undefined		FUN_1800b89c0,thunk_FUN_1805664dd,FUN_1800b6470,__security_check_cookie,FUN_1801af970,FUN_1802270b8,FUN_1801a8690,operator_new	yes	
bambu_network_ping_bind	0x1ba9b0	0x1801ba9b0	427	7	undefined		FUN_1800b89c0,thunk_FUN_1805664dd,FUN_1800b6470,FUN_1801aa250,FUN_1801adb40,__security_check_cookie,operator_new	yes	
bambu_network_put_model_mall_rating	0x1bab60	0x1801bab60	603	9	undefined		FUN_1800bf410,FUN_1801a8840,FUN_1800b89c0,thunk_FUN_1805664dd,FUN_1800b6470,FUN_1801affb0,__security_check_cookie,FUN_18011e530,operator_new	yes	
bambu_network_put_rating_picture_oss	0x1badc0	0x1801badc0	493	7	undefined		FUN_1800b89c0,FUN_1801b02d0,thunk_FUN_1805664dd,FUN_1800b6470,__security_check_cookie,FUN_1801a8970,operator_new	yes	
bambu_network_put_setting	0x1bafb0	0x1801bafb0	668	8	undefined		FUN_1801a8a60,FUN_1801ade60,FUN_1802b5b4f,FUN_1800b89c0,thunk_FUN_1805664dd,FUN_1800b6470,__security_check_cookie,operator_new	yes	
bambu_network_query_bind_status	0x1bb250	0x1801bb250	322	7	undefined		thunk_FUN_1805664dd,FUN_18011e530,FUN_1800bf410,__security_check_cookie,FUN_1801a8bb0,FUN_1801af330,operator_new	yes	
bambu_network_refresh_connection	0x1bb3a0	0x1801bb3a0	41	1	undefined		FUN_1801a7160	yes	
bambu_network_report_consent	0x1bb3d0	0x1801bb3d0	366	7	undefined		FUN_1800b89c0,thunk_FUN_1805664dd,FUN_1800b6470,__security_check_cookie,FUN_1801aa600,FUN_1801ae9d0,operator_new	yes	
bambu_network_request_bind_ticket	0x1bb540	0x1801bb540	245	5	undefined		thunk_FUN_1805664dd,FUN_1801af970,__security_check_cookie,FUN_1801a8c10,operator_new	yes	
bambu_network_request_setting_id	0x1bb640	0x1801bb640	130	3	undefined		FUN_1800b89c0,FUN_1800b6470,FUN_1801a8cb0	yes	
bambu_network_send_message	0x1bb6d0	0x1801bb6d0	634	7	undefined		FUN_1800b89c0,thunk_FUN_1805664dd,FUN_1800b6470,FUN_1801a8e30,__security_check_cookie,FUN_1801ae180,operator_new	yes	
bambu_network_send_message_to_printer	0x1bb950	0x1801bb950	657	7	undefined		FUN_1800b89c0,thunk_FUN_1805664dd,FUN_1801b05f0,FUN_1800b6470,FUN_1801a8f70,__security_check_cookie,operator_new	yes	
bambu_network_set_cert_file	0x1bbbf0	0x1801bbbf0	149	3	undefined		FUN_1800b89c0,FUN_1801a90b0,FUN_1800b6470	yes	
bambu_network_set_config_dir	0x1bbc90	0x1801bbc90	78	3	undefined		FUN_1800b89c0,FUN_1800b6470,FUN_1801a91e0	yes	
bambu_network_set_country_code	0x1bbce0	0x1801bbce0	78	3	undefined		FUN_1800b89c0,FUN_1800b6470,FUN_1801a9300	yes	
bambu_network_set_extra_http_header	0x1bbd30	0x1801bbd30	173	5	undefined		FUN_1801a93b0,thunk_FUN_1805664dd,FUN_1800ce1c0,FUN_1801136a0,operator_new	yes	
bambu_network_set_get_country_code_fn	0x1bbde0	0x1801bbde0	153	1	undefined		FUN_1801a9440	yes	
bambu_network_set_on_http_error_fn	0x1bbe80	0x1801bbe80	153	1	undefined		FUN_1801a94c0	yes	
bambu_network_set_on_local_connect_fn	0x1bbf20	0x1801bbf20	153	1	undefined		FUN_1801a9540	yes	
bambu_network_set_on_local_message_fn	0x1bbfc0	0x1801bbfc0	153	1	undefined		FUN_1801a95c0	yes	
bambu_network_set_on_message_fn	0x1bc060	0x1801bc060	153	1	undefined		FUN_1801a9640	yes	
bambu_network_set_on_printer_connected_fn	0x1bc100	0x1801bc100	153	1	undefined		FUN_1801a96c0	yes	
bambu_network_set_on_server_connected_fn	0x1bc1a0	0x1801bc1a0	153	1	undefined		FUN_1801a9740	yes	
bambu_network_set_on_ssdp_msg_fn	0x1bc240	0x1801bc240	153	1	undefined		FUN_1801a97c0	yes	
bambu_network_set_on_subscribe_failure_fn	0x1bc2e0	0x1801bc2e0	153	1	undefined		FUN_1801a9870	yes	
bambu_network_set_on_user_login_fn	0x1bc380	0x1801bc380	153	1	undefined		FUN_1801a98f0	yes	
bambu_network_set_on_user_message_fn	0x1bc420	0x1801bc420	153	1	undefined		FUN_1801a9970	yes	
bambu_network_set_queue_on_main_fn	0x1bc4c0	0x1801bc4c0	153	1	undefined		FUN_1801a99f0	yes	
bambu_network_set_server_callback	0x1bc560	0x1801bc560	403	5	undefined		thunk_FUN_1805664dd,FUN_1801af970,__security_check_cookie,FUN_1801a9a70,operator_new	yes	
bambu_network_set_user_selected_machine	0x1bc700	0x1801bc700	78	3	undefined		FUN_1801a9af0,FUN_1800b89c0,FUN_1800b6470	yes	
bambu_network_start	0x1bc750	0x1801bc750	41	1	undefined		FUN_1801a8670	yes	
bambu_network_start_discovery	0x1bc780	0x1801bc780	23	1	undefined		FUN_1801a9f80	yes	
bambu_network_start_local_print	0x1bc7a0	0x1801bc7a0	594	7	undefined		FUN_180125360,operator_new,FUN_1801af330,__security_check_cookie,FUN_1801207d0,FUN_1801a9fa0,thunk_FUN_1805664dd	yes	
bambu_network_start_local_print_with_record	0x1bca00	0x1801bca00	720	7	undefined		FUN_180125360,FUN_1801aa0d0,operator_new,__security_check_cookie,FUN_1801207d0,FUN_1801b0f50,thunk_FUN_1805664dd	yes	
bambu_network_start_print	0x1bccd0	0x1801bccd0	698	7	undefined		FUN_180125360,operator_new,FUN_1801ade60,FUN_1801aa300,__security_check_cookie,FUN_1801207d0,thunk_FUN_1805664dd	yes	
bambu_network_start_publish	0x1bcf90	0x1801bcf90	406	3	undefined		FUN_1801aa480,FUN_180125c10,FUN_1800b6470	yes	
bambu_network_start_sdcard_print	0x1bd130	0x1801bd130	577	7	undefined		FUN_180125360,operator_new,FUN_1801af650,FUN_1801aa6b0,__security_check_cookie,FUN_1801207d0,thunk_FUN_1805664dd	yes	
bambu_network_start_send_gcode_to_sdcard	0x1bd380	0x1801bd380	651	7	undefined		FUN_180125360,operator_new,FUN_1801b0c30,FUN_1801aa7e0,__security_check_cookie,FUN_1801207d0,thunk_FUN_1805664dd	yes	
bambu_network_start_subscribe	0x1bd610	0x1801bd610	78	3	undefined		FUN_1800b89c0,FUN_1800b6470,FUN_1801aa910	yes	
bambu_network_stop_subscribe	0x1bd660	0x1801bd660	78	3	undefined		FUN_1800b89c0,FUN_1801aaa70,FUN_1800b6470	yes	
bambu_network_track_enable	0x1bd6b0	0x1801bd6b0	230	5	undefined		FUN_1801aab20,operator_new,__security_check_cookie,FUN_1801ae180,thunk_FUN_1805664dd	yes	
bambu_network_track_event	0x1bd7a0	0x1801bd7a0	608	7	undefined		operator_new,FUN_1800b89c0,FUN_1801ade60,__security_check_cookie,FUN_1800b6470,FUN_1801aab40,thunk_FUN_1805664dd	yes	
bambu_network_track_get_property	0x1bda10	0x1801bda10	612	7	undefined		operator_new,FUN_1801af650,FUN_1800b89c0,FUN_1801aac70,__security_check_cookie,FUN_1800b6470,thunk_FUN_1805664dd	yes	
bambu_network_track_header	0x1bdc80	0x1801bdc80	432	7	undefined		operator_new,FUN_1800b89c0,FUN_1801aadb0,__security_check_cookie,FUN_1800b6470,FUN_1801ae180,thunk_FUN_1805664dd	yes	
bambu_network_track_remove_files	0x1bde30	0x1801bde30	235	5	undefined		operator_new,FUN_1801af650,FUN_1801aae60,__security_check_cookie,thunk_FUN_1805664dd	yes	
bambu_network_track_update_property	0x1bdf20	0x1801bdf20	846	7	undefined		FUN_1801affb0,operator_new,FUN_1800b89c0,FUN_1801aae80,__security_check_cookie,FUN_1800b6470,thunk_FUN_1805664dd	yes	
bambu_network_unbind	0x1be270	0x1801be270	419	7	undefined		operator_new,FUN_1800b89c0,FUN_1801aa9c0,__security_check_cookie,FUN_1800b6470,FUN_1801ad820,thunk_FUN_1805664dd	yes	
bambu_network_update_cert	0x1be420	0x1801be420	288	5	undefined		operator_new,FUN_1801ab030,__security_check_cookie,FUN_1801ade60,thunk_FUN_1805664dd	yes	
bambu_network_user_logout	0x1be540	0x1801be540	41	1	undefined		FUN_1801ab0e0	yes	
ft_abi_version	0x2492b0	0x1802492b0	6	0	undefined			yes	
ft_free	0x2492c0	0x1802492c0	7	0	undefined			yes	
ft_job_cancel	0x2492d0	0x1802492d0	274	4	undefined		operator_new,FUN_18023dee0,__security_check_cookie,thunk_FUN_1805664dd	yes	
ft_job_create	0x2493f0	0x1802493f0	1080	17	undefined		FUN_1800bfba0,operator_new,FUN_180566477,FUN_1800eaa50,__security_check_cookie,FUN_1800e6ca0,thunk_FUN_1805664dd,FUN_18023cda0,FUN_18019dc7c,FUN_1800ef260,FUN_1800fd640,FUN_1800ed510,FUN_1800b6550,FUN_1800f48e0,FUN_180565ed6,FUN_18009d120,FUN_1800fa1f0	yes	
ft_job_get_msg	0x249860	0x180249860	196	4	undefined		FUN_180249150,FUN_1800ef260,FUN_1800ed510,FUN_18026e5f0	yes	
ft_job_get_result	0x249930	0x180249930	573	10	undefined		operator_new,FUN_180125080,FUN_1800fd640,FUN_180566489,FUN_180124f30,FUN_18017c470,FUN_1800b6470,FUN_180566250,FUN_1802491a0,FUN_1800bf3f0	yes	
ft_job_msg_destroy	0x249b80	0x180249b80	37	0	undefined			yes	
ft_job_release	0x249bb0	0x180249bb0	187	4	undefined		FUN_180124fa0,FUN_180565edc,FUN_1801250f0,thunk_FUN_1805664dd	yes	
ft_job_result_destroy	0x249c70	0x180249c70	54	0	undefined			yes	
ft_job_retain	0x249cb0	0x180249cb0	15	0	undefined			yes	
ft_job_set_msg_cb	0x249cc0	0x180249cc0	28	0	undefined			yes	
ft_job_set_result_cb	0x249cf0	0x180249cf0	28	0	undefined			yes	
ft_job_try_get_msg	0x249d20	0x180249d20	154	4	undefined		FUN_1802702e0,FUN_180249150,FUN_1800ef260,FUN_1800ed510	yes	
ft_tunnel_create	0x249dc0	0x180249dc0	879	9	undefined		FUN_1800bfba0,operator_new,FUN_180564ff0,FUN_180240430,atexit,FUN_180564f90,__security_check_cookie,FUN_1801fe910,thunk_FUN_1805664dd	yes	
ft_tunnel_release	0x24a140	0x18024a140	233	2	undefined		FUN_18026fb80,thunk_FUN_1805664dd	yes	
ft_tunnel_retain	0x24a230	0x18024a230	15	0	undefined			yes	
ft_tunnel_set_status_cb	0x24a240	0x18024a240	424	2	undefined		FUN_180244890,operator_new	yes	
ft_tunnel_shutdown	0x24a3f0	0x18024a3f0	6	0	undefined			yes	
ft_tunnel_start_connect	0x24a400	0x18024a400	373	2	undefined		operator_new,FUN_18026ee30	yes	
ft_tunnel_start_job	0x24a580	0x18024a580	1514	14	undefined		FUN_180565ee2,FUN_180565efa,operator_new,FUN_180565ee8,FUN_18026f0c0,FUN_180124fa0,FUN_1805660e2,__security_check_cookie,FUN_1800b6470,FUN_1800ba580,FUN_18026bca0,FUN_18023d610,FUN_18026c680,FUN_1800fd640	yes	
ft_tunnel_sync_connect	0x24ab80	0x18024ab80	62	1	undefined		FUN_18026fc00	yes	
tls_callback_1	0x563e20	0x180563e20	10	0	undefined			yes	
tls_callback_2	0x565258	0x180565258	102	0	undefined			yes	
